iter	RMSE
800	0.6322639855
801	0.6322035908
802	0.6320677717
803	0.6319711228
804	0.631856531
805	0.6317791202
806	0.6316656016
807	0.6315609022
808	0.6314753878
809	0.6313649596
810	0.6312689508
811	0.6311909007
812	0.6310642002
813	0.6309663399
814	0.6308994231
815	0.6308163475
816	0.6307157135
817	0.6305668746
818	0.6304625865
819	0.6303617668
820	0.6302148588
821	0.6301195788
822	0.6300323187
823	0.6299552522
824	0.6298023313
825	0.6297079711
826	0.6295867113
827	0.629509642
828	0.6294563265
829	0.6293894301
830	0.6292713937
831	0.629099291
832	0.628959748
833	0.6288737763
834	0.6287457546
835	0.6286213317
836	0.6285351843
837	0.6284561213
838	0.6284526509
839	0.6283694332
840	0.6283088713
841	0.6282220074
842	0.6281486314
843	0.6280325388
844	0.6278896999
845	0.6277871189
846	0.6277099064
847	0.6275897388
848	0.6275539226
849	0.6274836848
850	0.6273685588
851	0.6272776986
852	0.6271690487
853	0.6270824941
854	0.6269499789
855	0.62683543
856	0.6267206004
857	0.6265952558
858	0.6264876566
859	0.6263573542
860	0.6262250494
861	0.6261549225
862	0.6260400461
863	0.6258933459
864	0.6258146514
865	0.6258013613
866	0.6257054872
867	0.6255761927
868	0.625553583
869	0.6254607677
870	0.6253635661
871	0.6252652822
872	0.6250923109
873	0.6249862238
874	0.624878634
875	0.6247695929
876	0.6247185043
877	0.6245718846
878	0.6244645102
879	0.6243577951
880	0.6243200207
881	0.6242341141
882	0.6240991946
883	0.6239443689
884	0.6238598455
885	0.6237484083
886	0.6236594999
887	0.6235438506
888	0.623419486
889	0.623313088
890	0.6232201219
891	0.6230661749
892	0.622977953
893	0.6228706174
894	0.6228084494
895	0.6227580884
896	0.6226418011
897	0.622535584
898	0.622438501
899	0.6223018583
900	0.622228255
901	0.6221063483
902	0.6220130709
903	0.621950791
904	0.6218684045
905	0.6217490712
906	0.6216104965
907	0.6215304217
908	0.6214485032
909	0.6213563321
910	0.6212197658
911	0.6210927083
912	0.6209798834
913	0.6208534323
914	0.6207744135
915	0.6206471075
916	0.6205299787
917	0.6203749444
918	0.6203271146
919	0.6202140455
920	0.6201031343
921	0.6200105793
922	0.6198818562
923	0.6197705704
924	0.6196576098
925	0.6195811705
926	0.6195027513
927	0.619406822
928	0.6192718759
929	0.6191691026
930	0.6190363395
931	0.6189192214
932	0.6188398241
933	0.6187314549
934	0.6186672925
935	0.6185901519
936	0.618493239
937	0.6183271651
938	0.6182396359
939	0.6181070418
940	0.6180017835
941	0.6179359649
942	0.6178158194
943	0.617754381
944	0.6175882929
945	0.6174747749
946	0.6174275904
947	0.617326593
948	0.6172603069
949	0.6171432737
950	0.6170368751
951	0.6169174251
952	0.6168238116
953	0.6167277824
954	0.6165987698
955	0.6164829312
956	0.6163283841
957	0.6162344699
958	0.6161396432
959	0.6160267038
960	0.615925873
961	0.6158191583
962	0.6156770283
963	0.6156020247
964	0.6155294448
965	0.6154166579
966	0.6153328939
967	0.6152407589
968	0.6151563624
969	0.6150494084
970	0.6149123678
971	0.6147263163
972	0.6146290061
973	0.6145531861
974	0.6144368293
975	0.6143570911
976	0.6142948829
977	0.6141913563
978	0.6141406333
979	0.6140297118
980	0.6139567869
981	0.6138489079
982	0.6137474277
983	0.6136234382
984	0.6134900321
985	0.6134718056
986	0.6133489811
987	0.6132215934
988	0.6131183369
989	0.6130180367
990	0.6128855876
991	0.6128388465
992	0.6127233064
993	0.612595523
994	0.6124707689
995	0.6124243682
996	0.612294635
997	0.6121951303
998	0.6120882438
999	0.6119268683
1000	0.611813231
1001	0.6116946502
1002	0.6115952076
1003	0.611480231
1004	0.6113997079
1005	0.6113313415
1006	0.6112718341
1007	0.6111139717
1008	0.6109980788
1009	0.6108871995
1010	0.610787359
1011	0.6107331819
1012	0.6106371011
1013	0.6105224773
1014	0.6104264433
1015	0.6103484212
1016	0.6102656419
1017	0.6102092046
1018	0.6100971949
1019	0.6099868456
1020	0.6098908073
1021	0.6098020138
1022	0.6096948413
1023	0.6095693333
1024	0.6094766742
1025	0.609406543
1026	0.6093366441
1027	0.6091924139
1028	0.6091258305
1029	0.6090418694
1030	0.6090379944
1031	0.6089604894
1032	0.6088444539
1033	0.6087141716
1034	0.6086167291
1035	0.6085215177
1036	0.6084553691
1037	0.6084522394
1038	0.6083658845
1039	0.6083549957
1040	0.6082612418
1041	0.6081210121
1042	0.6080039865
1043	0.6079400573
1044	0.6078273349
1045	0.6077116454
1046	0.607617578
1047	0.6075322297
1048	0.6074169932
1049	0.6073341627
1050	0.6072199339
1051	0.6072167978
1052	0.6071264873
1053	0.6070692489
1054	0.6069888646
1055	0.6069159787
1056	0.606810013
1057	0.6067199371
1058	0.6065967651
1059	0.6065277768
1060	0.6064417652
1061	0.6063427227
1062	0.6062409793
1063	0.6061260344
1064	0.6060549783
1065	0.605928985
1066	0.6058601625
1067	0.6057596277
1068	0.60564701
1069	0.6055691247
1070	0.6054849124
1071	0.605396118
1072	0.6052849385
1073	0.6051762129
1074	0.6050457326
1075	0.6049710791
1076	0.6048350918
1077	0.6048248391
1078	0.6047448024
1079	0.6046551725
1080	0.6045276221
1081	0.6044387139
1082	0.6043947127
1083	0.6042962505
1084	0.6041892327
1085	0.6041306383
1086	0.6041285908
1087	0.6039966445
1088	0.6038736179
1089	0.603808254
1090	0.6037382191
1091	0.6036524033
1092	0.6035471051
1093	0.6034494216
1094	0.603378401
1095	0.6032994674
1096	0.6032374949
1097	0.6031468314
1098	0.6030841145
1099	0.6029862751
1100	0.6028746512
1101	0.6027727004
1102	0.6026404033
1103	0.6026356769
1104	0.6025529725
1105	0.602448806
1106	0.6023629145
1107	0.60225858
1108	0.6021889055
1109	0.6021437938
1110	0.6020475588
1111	0.6019096671
1112	0.6018288101
1113	0.6017256272
1114	0.6017237338
1115	0.6016428518
1116	0.6015876077
1117	0.6014866294
1118	0.6014302344
1119	0.6013300417
1120	0.6012505143
1121	0.6011769056
1122	0.6010976017
1123	0.6009850584
1124	0.6009013412
1125	0.6008143345
1126	0.6007527017
1127	0.6006347012
1128	0.6005680633
1129	0.6005011199
1130	0.6004990058
1131	0.6004367985
1132	0.6003696236
1133	0.6002538797
1134	0.6001786572
1135	0.600050969
1136	0.5999504374
1137	0.5998671185
1138	0.5997628655
1139	0.5996733594
1140	0.5996022173
1141	0.5995302523
1142	0.5994157855
1143	0.5993028448
1144	0.5992053929
1145	0.5991319676
1146	0.599044405
1147	0.5989934863
1148	0.5989000877
1149	0.5987937093
1150	0.5987267578
1151	0.5986043882
1152	0.5985642
1153	0.5984894995
1154	0.5983980894
1155	0.5983308216
1156	0.5982348983
1157	0.5981769994
1158	0.5980935424
1159	0.5979917291
1160	0.5979036185
1161	0.5977902559
1162	0.5976522808
1163	0.5975896137
1164	0.5974468519
1165	0.5973333482
1166	0.5972575127
1167	0.5971781789
1168	0.5970541834
1169	0.5969440132
1170	0.5968704461
1171	0.5967918518
1172	0.5967773971
1173	0.5967745062
1174	0.5967319037
1175	0.5966770232
1176	0.5966156177
1177	0.5965199369
1178	0.5964179915
1179	0.5963321593
1180	0.5962489354
1181	0.5961423569
1182	0.5960298063
1183	0.5959202934
1184	0.5958175351
1185	0.5957483094
1186	0.5956717803
1187	0.5955800197
1188	0.595480182
1189	0.5954044111
1190	0.5953106135
1191	0.5951918622
1192	0.5950832345
1193	0.595009109
1194	0.5949047981
1195	0.5948564253
1196	0.59480876
1197	0.5947353939
1198	0.5946451585
1199	0.5945665712
1200	0.5944618814
1201	0.5944237132
1202	0.5943425497
1203	0.5942881607
