iter	Passed	Remaining
831	6591	9253
832	6596	9242
833	6602	9230
834	6607	9219
835	6613	9208
836	6618	9196
837	6625	9187
838	6632	9177
839	6637	9166
840	6643	9155
841	6648	9143
842	6654	9132
843	6659	9121
844	6665	9110
845	6670	9099
846	6676	9088
847	6682	9077
848	6687	9065
849	6692	9054
850	6698	9044
851	6703	9033
852	6709	9022
853	6715	9011
854	6720	9000
855	6726	8989
856	6732	8978
857	6738	8968
858	6744	8958
859	6750	8948
860	6756	8938
861	6762	8927
862	6767	8916
863	6773	8905
864	6778	8894
865	6783	8883
866	6789	8872
867	6794	8861
868	6799	8850
869	6805	8838
870	6810	8828
871	6816	8817
872	6821	8806
873	6827	8796
874	6833	8785
875	6838	8774
876	6843	8763
877	6849	8752
878	6854	8741
879	6860	8731
880	6865	8719
881	6870	8709
882	6876	8698
883	6883	8690
884	6889	8679
885	6894	8668
886	6900	8658
887	6905	8647
888	6910	8636
889	6916	8626
890	6921	8615
891	6927	8604
892	6932	8594
893	6938	8583
894	6943	8572
895	6948	8561
896	6953	8550
897	6959	8540
898	6964	8529
899	6970	8519
900	6975	8508
901	6981	8498
902	6986	8487
903	6992	8477
904	6997	8466
905	7002	8456
906	7008	8445
907	7016	8438
908	7025	8432
909	7044	8437
910	7055	8433
911	7060	8423
912	7066	8413
913	7072	8402
914	7077	8392
915	7082	8381
916	7088	8371
917	7093	8361
918	7099	8350
919	7104	8340
920	7110	8330
921	7115	8319
922	7121	8309
923	7126	8299
924	7132	8289
925	7137	8278
926	7143	8268
927	7148	8258
928	7154	8248
929	7160	8238
930	7165	8228
931	7171	8217
932	7176	8207
933	7182	8197
934	7187	8186
935	7192	8176
936	7198	8166
937	7204	8156
938	7209	8146
939	7215	8136
940	7221	8126
941	7226	8116
942	7232	8106
943	7237	8096
944	7243	8086
945	7249	8076
946	7254	8066
947	7259	8056
948	7264	8045
949	7270	8035
950	7276	8026
951	7282	8016
952	7287	8006
953	7293	7996
954	7298	7986
955	7304	7976
956	7310	7967
957	7315	7957
958	7321	7947
959	7326	7937
960	7332	7927
961	7337	7917
962	7343	7907
963	7348	7897
964	7353	7887
965	7359	7877
966	7364	7867
967	7370	7857
968	7375	7847
969	7381	7837
970	7387	7828
971	7393	7818
972	7398	7808
973	7403	7799
974	7409	7789
975	7415	7779
976	7420	7769
977	7425	7759
978	7431	7750
979	7436	7740
980	7442	7730
981	7448	7721
982	7453	7711
983	7459	7702
984	7464	7692
985	7469	7682
986	7475	7672
987	7481	7662
988	7486	7653
989	7492	7643
990	7497	7633
991	7502	7623
992	7508	7614
993	7513	7604
994	7519	7594
995	7524	7584
996	7530	7575
997	7535	7565
998	7541	7556
999	7546	7546
1000	7552	7536
1001	7557	7527
1002	7562	7517
1003	7569	7509
1004	7574	7499
1005	7580	7489
1006	7585	7480
1007	7591	7470
1008	7596	7461
1009	7602	7451
1010	7607	7442
1011	7612	7432
1012	7618	7422
1013	7626	7415
1014	7631	7406
1015	7637	7396
1016	7642	7386
1017	7647	7377
1018	7653	7367
1019	7658	7358
1020	7664	7348
1021	7669	7339
1022	7675	7330
1023	7681	7320
1024	7688	7313
1025	7694	7304
1026	7699	7294
1027	7705	7285
1028	7710	7275
1029	7716	7266
1030	7721	7256
1031	7726	7247
1032	7732	7238
1033	7739	7230
1034	7745	7221
1035	7751	7212
1036	7756	7203
1037	7761	7193
1038	7767	7184
1039	7772	7174
1040	7777	7165
1041	7783	7156
1042	7789	7146
1043	7794	7137
1044	7799	7128
1045	7805	7119
1046	7810	7109
1047	7816	7100
1048	7822	7091
1049	7827	7082
1050	7833	7073
1051	7838	7063
1052	7844	7054
1053	7850	7045
1054	7856	7036
1055	7861	7027
1056	7867	7018
1057	7873	7010
1058	7882	7003
1059	7887	6994
1060	7893	6986
1061	7899	6977
1062	7905	6968
1063	7911	6959
1064	7917	6950
1065	7923	6942
1066	7928	6933
1067	7934	6924
1068	7940	6915
1069	7946	6906
1070	7952	6897
1071	7958	6889
1072	7963	6880
1073	7969	6871
1074	7974	6862
1075	7980	6853
1076	7986	6844
1077	7991	6834
1078	7996	6825
1079	8001	6816
1080	8007	6807
1081	8013	6798
1082	8018	6789
1083	8024	6780
1084	8029	6771
1085	8034	6762
1086	8039	6752
1087	8062	6758
1088	8076	6756
1089	8081	6747
1090	8087	6738
1091	8093	6729
1092	8098	6720
1093	8104	6711
1094	8109	6702
1095	8115	6693
1096	8121	6684
1097	8126	6675
1098	8132	6666
1099	8137	6658
1100	8143	6649
1101	8149	6640
1102	8154	6631
1103	8159	6622
1104	8165	6613
1105	8170	6604
1106	8176	6595
1107	8181	6586
1108	8187	6577
1109	8192	6568
1110	8198	6560
1111	8204	6551
1112	8209	6542
1113	8215	6533
1114	8220	6524
1115	8225	6515
1116	8230	6506
1117	8236	6497
1118	8241	6488
1119	8247	6480
1120	8252	6471
1121	8258	6462
1122	8263	6453
1123	8269	6444
1124	8274	6435
1125	8280	6427
1126	8285	6418
1127	8291	6410
1128	8297	6401
1129	8303	6392
1130	8308	6383
1131	8313	6374
1132	8318	6365
1133	8324	6357
1134	8329	6348
1135	8335	6339
1136	8341	6331
1137	8347	6322
1138	8352	6314
1139	8358	6305
1140	8363	6296
1141	8369	6288
1142	8375	6279
1143	8380	6270
1144	8386	6262
1145	8391	6253
1146	8397	6244
1147	8402	6236
1148	8408	6227
1149	8413	6218
1150	8419	6210
1151	8424	6201
1152	8430	6192
1153	8435	6184
1154	8441	6175
1155	8446	6166
1156	8452	6158
1157	8457	6149
1158	8462	6140
1159	8468	6132
1160	8473	6123
1161	8479	6115
1162	8484	6106
1163	8490	6097
1164	8495	6089
1165	8501	6080
1166	8507	6072
1167	8512	6063
1168	8518	6055
1169	8523	6046
1170	8529	6038
1171	8534	6029
1172	8539	6020
1173	8544	6011
1174	8549	6003
1175	8556	5995
1176	8561	5986
1177	8566	5977
1178	8572	5969
1179	8577	5960
1180	8583	5952
1181	8588	5943
1182	8594	5935
1183	8599	5926
1184	8605	5918
1185	8610	5910
1186	8619	5903
1187	8624	5895
1188	8630	5886
1189	8635	5878
1190	8641	5869
1191	8646	5861
1192	8652	5853
1193	8657	5844
1194	8663	5836
1195	8668	5827
1196	8674	5818
1197	8679	5810
1198	8685	5802
1199	8690	5793
1200	8696	5785
1201	8701	5776
1202	8706	5768
1203	8711	5759
1204	8717	5751
1205	8724	5743
1206	8730	5735
1207	8736	5727
1208	8741	5719
1209	8747	5711
1210	8752	5702
1211	8758	5694
1212	8763	5685
1213	8768	5677
1214	8774	5669
1215	8779	5660
1216	8785	5652
1217	8790	5643
1218	8796	5635
1219	8801	5627
1220	8807	5618
1221	8812	5610
1222	8818	5602
1223	8823	5594
1224	8829	5585
1225	8835	5577
1226	8840	5569
1227	8846	5561
1228	8851	5552
1229	8856	5544
1230	8862	5536
1231	8868	5528
1232	8875	5521
1233	8881	5512
1234	8886	5504
1235	8892	5496
1236	8898	5488
1237	8903	5480
1238	8909	5472
1239	8915	5464
1240	8920	5455
1241	8926	5447
1242	8931	5439
1243	8937	5431
1244	8942	5423
1245	8948	5414
1246	8954	5406
1247	8959	5398
1248	8965	5390
1249	8970	5382
1250	8975	5374
1251	8981	5365
1252	8987	5357
1253	8992	5349
1254	8998	5341
1255	9003	5333
1256	9009	5325
1257	9014	5317
1258	9020	5308
1259	9025	5300
1260	9031	5292
1261	9036	5284
1262	9042	5276
1263	9047	5268
1264	9052	5259
1265	9058	5251
1266	9064	5243
1267	9092	5249
1268	9098	5241
1269	9103	5232
1270	9109	5224
1271	9115	5217
1272	9121	5208
1273	9126	5200
1274	9131	5192
1275	9137	5184
1276	9143	5176
1277	9148	5168
1278	9153	5160
1279	9159	5151
1280	9164	5143
1281	9169	5135
1282	9175	5127
1283	9180	5119
1284	9186	5111
1285	9192	5103
1286	9197	5095
1287	9202	5087
1288	9208	5079
1289	9214	5071
1290	9219	5063
1291	9225	5055
1292	9230	5047
1293	9236	5039
1294	9241	5031
1295	9247	5023
1296	9252	5015
1297	9258	5007
1298	9263	4999
1299	9269	4991
1300	9274	4982
1301	9279	4974
1302	9285	4966
1303	9290	4958
1304	9296	4951
1305	9301	4942
1306	9307	4934
1307	9312	4927
1308	9318	4919
1309	9324	4911
1310	9329	4903
1311	9334	4895
1312	9340	4887
1313	9345	4878
1314	9350	4870
1315	9356	4862
1316	9361	4854
1317	9367	4847
1318	9372	4839
1319	9378	4831
1320	9383	4823
1321	9388	4815
1322	9394	4807
1323	9399	4799
1324	9405	4791
1325	9410	4783
1326	9416	4775
1327	9421	4767
1328	9427	4759
1329	9432	4751
1330	9437	4743
1331	9443	4735
1332	9449	4728
1333	9454	4720
1334	9459	4712
1335	9465	4704
1336	9470	4696
1337	9476	4688
1338	9481	4680
1339	9486	4672
1340	9492	4664
1341	9498	4657
1342	9503	4649
1343	9508	4641
1344	9514	4633
1345	9519	4625
1346	9525	4617
1347	9530	4609
1348	9535	4601
1349	9540	4593
1350	9546	4585
1351	9552	4578
1352	9558	4570
1353	9563	4562
1354	9569	4555
1355	9574	4547
1356	9580	4539
1357	9585	4531
1358	9591	4523
1359	9596	4516
1360	9602	4508
1361	9607	4500
1362	9617	4494
1363	9625	4487
1364	9630	4480
1365	9636	4472
1366	9641	4464
1367	9647	4456
1368	9652	4449
1369	9657	4441
1370	9663	4433
1371	9669	4425
1372	9674	4418
1373	9680	4410
